Rule_ID,Column_Keyword,Data_Type_Expected,Sample_Pattern,Information_Type,Sensitivity_Label,Description,,Masking_Function
19,"passport, passport_no, passport_number","NVARCHAR, VARCHAR",^[A-Z]{1}[0-9]{7}$,National ID,Highly Confidential,Passport number,,"partial(0,""XXXXXXX"",3)"
20,"gst, gstin, gst_no","NVARCHAR, VARCHAR",^\d{2}[A-Z]{5}\d{4}[A-Z]{1}[A-Z\d]{1}[Z]{1}[A-Z\d]{1}$,Financial,Highly Confidential,GSTIN,,"partial(0,""XXXXXXX"",3)"
21,"vehicle_no, reg_no, rc_no","NVARCHAR, VARCHAR","^[A-Z]{2}[0-9]{2}[A-Z]{1,2}[0-9]{4}$",Other ID,Confidential,Vehicle registration number,,"partial(0,""XXXXXXX"",3)"
22,"insurance_no, policy_no","NVARCHAR, VARCHAR",,Financial,Confidential,Insurance or policy number,,"partial(0,""XXXXXXX"",3)"
23,"student_id, roll_no, reg_no","NVARCHAR, VARCHAR",,Name,Internal,Student identifier,,"partial(0,""STUXXXX"",0)"
24,"marks, grade, cgpa, score","DECIMAL, FLOAT",,Financial,Confidential,Academic performance data,,"random(50, 100)"
25,"dob, date_of_birth","DATE, DATETIME",,Date of Birth,Confidential,Birth date,,default()
26,"gender, sex","NVARCHAR, VARCHAR",,Name,Confidential,Gender details,,"partial(0,""X"",0)"
27,"ip_address, ipv4, ipv6","NVARCHAR, VARCHAR","^\d{1,3}.\d{1,3}.\d{1,3}.\d{1,3}$",Networking,Confidential,IP address,,"partial(0,""XXX.XXX.XXX."",0)"
28,mac_address,"NVARCHAR, VARCHAR",^([0-9A-Fa-f]{2}[:-]){5}([0-9A-Fa-f]{2})$,Networking,Confidential,MAC address,,"partial(0,""XX:XX:XX:XX:"",0)"
29,"username, login, userid","NVARCHAR, VARCHAR",,Credentials,Confidential,Usernames,,"partial(1,""XXXXXX"",0)"
30,"password, passcode, pin","NVARCHAR, VARCHAR",,Credentials,Highly Confidential,Passwords or secret keys,,default()
31,"age, years_old","INT, SMALLINT",,Date of Birth,Confidential,Age of individual,,"random(20,60)"
32,"location, gps, latitude, longitude","NVARCHAR, VARCHAR",,Networking,Confidential,Location coordinates,,"partial(0,""XXXXXXX"",3)"
33,"emergency_contact, alt_contact","NVARCHAR, VARCHAR",^\d{10}$,Contact Info,Confidential,Alternate contact number,,"partial(0,""XXXXXXX"",4)"
34,"image, photo, picture","VARBINARY, NVARCHAR",,Name,Confidential,Image or biometric photo,,default()
35,"fingerprint, biometric, retina, iris",VARBINARY,,Health,Highly Confidential,Biometric data,,default()
36,"comments, feedback, notes","NVARCHAR, VARCHAR",,Other,General,Free text,,"partial(0,""XXXXXXXX"",0)"
37,"legal_case_no, court_ref, caseid","NVARCHAR, VARCHAR",,Financial,Confidential,Legal or case reference,,"partial(0,""XXXXXXX"",3)"
38,"api_key, token, secret","NVARCHAR, VARCHAR",,Credentials,Highly Confidential,API keys or tokens,,default()
39,"device_id, imei","NVARCHAR, VARCHAR",^\d{15}$,Networking,Confidential,Device identifiers,,"partial(0,""XXXXXXXX"",0)"
40,"passport_expiry, license_expiry, card_expiry",DATE,,Date of Birth,Confidential,Document expiry date,,default()
